"DateTime","Polygon 1"
"2015-12-21",0.0064
"2015-12-22",0
"2015-12-23",0
"2015-12-24",0
"2015-12-25",0
"2015-12-26",0.0014
"2015-12-27",0.0645
"2015-12-28",0
"2015-12-29",0
"2015-12-30",0
"2015-12-31",0
"2016-01-01",0.0083
"2016-01-02",0.0005
"2016-01-03",0
"2016-01-04",0
"2016-01-05",0.0794
"2016-01-06",0.0068
"2016-01-07",0
"2016-01-08",0.0005
"2016-01-09",0.0025
"2016-01-10",0.019
"2016-01-11",0.0185
"2016-01-12",0.0022
"2016-01-13",0.0019
"2016-01-14",0
"2016-01-15",0.0003
"2016-01-16",0.0021
"2016-01-17",0.0181
"2016-01-18",0.0087
"2016-01-19",0.0018
"2016-01-20",0
"2016-01-21",0
"2016-01-22",0
"2016-01-23",0
"2016-01-24",0.0001
"2016-01-25",0.0049
"2016-01-26",0.1044
"2016-01-27",0
"2016-01-28",0.0002
"2016-01-29",0.0002
"2016-01-30",0.0043
"2016-01-31",0.0886
"2016-02-01",0
"2016-02-02",0.0024
"2016-02-03",0.0054
"2016-02-04",0.0016
"2016-02-05",0
"2016-02-06",0.0003
"2016-02-07",0.02
"2016-02-08",0.0304
"2016-02-09",0.0188
"2016-02-10",0.0812
"2016-02-11",0.0091
"2016-02-12",0.2002
"2016-02-13",0.0045
"2016-02-14",0
"2016-02-15",0.0249
"2016-02-16",0
"2016-02-17",0.0006
"2016-02-18",0
"2016-02-19",0.2642
"2016-02-20",0
"2016-02-21",0
"2016-02-22",0
"2016-02-23",0
"2016-02-24",0.0277
"2016-02-25",0.3169
"2016-02-26",0.0007
"2016-02-27",0.0003
"2016-02-28",0.1609
"2016-02-29",0.0095
"2016-03-01",0.0604
"2016-03-02",1.306
"2016-03-03",0.1056
"2016-03-04",0.2614
"2016-03-05",0.508
"2016-03-06",0.4276
"2016-03-07",0.0231
"2016-03-08",0.0435
"2016-03-09",0.1532
"2016-03-10",0.0767
"2016-03-11",0.7621
"2016-03-12",1.0901
"2016-03-13",0.7543
"2016-03-14",0.5945
"2016-03-15",0.0342
"2016-03-16",0.0968
"2016-03-17",0.287
"2016-03-18",0.3912
"2016-03-19",0.0131
"2016-03-20",0
"2016-03-21",0.0501
"2016-03-22",0.0065
"2016-03-23",0
"2016-03-24",0
"2016-03-25",0.0174
"2016-03-26",0.5583
"2016-03-27",0.1797
"2016-03-28",0.7959
"2016-03-29",6.6498
"2016-03-30",1.4133
"2016-03-31",0.4795
"2016-04-01",0.7062
"2016-04-02",0.3886
"2016-04-03",0.2649
"2016-04-04",0.445
"2016-04-05",0.0969
"2016-04-06",1.8598
"2016-04-07",0.9071
"2016-04-08",0.3383
"2016-04-09",0.0899
"2016-04-10",0.758
"2016-04-11",1.2767
"2016-04-12",1.1952
"2016-04-13",7.6114
"2016-04-14",1.2337
"2016-04-15",1.2754
"2016-04-16",0.0705
"2016-04-17",0.3757
"2016-04-18",1.2348
"2016-04-19",0.9182
"2016-04-20",2.6115
"2016-04-21",0.6391
"2016-04-22",3.1823
"2016-04-23",0.1692
"2016-04-24",1.0697
"2016-04-25",2.0316
"2016-04-26",2.7119
"2016-04-27",5.9538
"2016-04-28",1.0363
"2016-04-29",0.566
"2016-04-30",3.9671
"2016-05-01",1.3791
"2016-05-02",0.3508
"2016-05-03",1.5836
"2016-05-04",7.4203
"2016-05-05",8.8694
"2016-05-06",5.1719
"2016-05-07",2.1793
"2016-05-08",7.3452
"2016-05-09",8.022
"2016-05-10",7.1252
"2016-05-11",1.5748
"2016-05-12",0.9154
"2016-05-13",4.5049
"2016-05-14",0.8459
"2016-05-15",10.0271
"2016-05-16",0.3076
"2016-05-17",11.0931
"2016-05-18",1.582
"2016-05-19",5.652
"2016-05-20",10.9537
"2016-05-21",5.3513
"2016-05-22",0.1627
"2016-05-23",2.5148
"2016-05-24",2.0606
"2016-05-25",3.8695
"2016-05-26",0.4615
"2016-05-27",1.3783
"2016-05-28",7.1883
"2016-05-29",2.1524
"2016-05-30",1.9109
"2016-05-31",0.6926
"2016-06-01",0.2627
"2016-06-02",0.4765
"2016-06-03",5.6525
"2016-06-04",1.3558
"2016-06-05",14.7496
"2016-06-06",1.5483
"2016-06-07",8.4733
"2016-06-08",1.2603
"2016-06-09",7.4534
"2016-06-10",1.5495
"2016-06-11",1.987
"2016-06-12",3.8111
"2016-06-13",13.5858
"2016-06-14",12.7404
"2016-06-15",2.6994
"2016-06-16",3.3875
"2016-06-17",5.3645
"2016-06-18",5.0892
"2016-06-19",4.0301
"2016-06-20",8.7457
"2016-06-21",4.0437
"2016-06-22",3.9211
"2016-06-23",0.9856
"2016-06-24",6.1672
"2016-06-25",4.2196
"2016-06-26",6.5288
"2016-06-27",4.8444
"2016-06-28",2.0546
"2016-06-29",1.4828
"2016-06-30",2.8354
"2016-07-01",6.3491
"2016-07-02",2.827
"2016-07-03",2.6634
"2016-07-04",8.7207
"2016-07-05",7.0651
"2016-07-06",6.0044
"2016-07-07",5.5436
"2016-07-08",4.9474
"2016-07-09",3.2121
"2016-07-10",9.7673
"2016-07-11",7.1576
"2016-07-12",9.1414
"2016-07-13",6.2788
"2016-07-14",2.1224
"2016-07-15",3.1077
"2016-07-16",5.6389
"2016-07-17",4.8572
"2016-07-18",6.3864
"2016-07-19",15.1998
"2016-07-20",4.1392
"2016-07-21",1.0172
"2016-07-22",6.8958
"2016-07-23",9.6788
"2016-07-24",11.7371
"2016-07-25",0.9385
"2016-07-26",5.5409
"2016-07-27",14.4161
"2016-07-28",5.1044
"2016-07-29",1.0695
"2016-07-30",6.833
"2016-07-31",10.2734
"2016-08-01",5.508
"2016-08-02",1.1347
"2016-08-03",4.7587
"2016-08-04",13.1939
"2016-08-05",5.5215
"2016-08-06",3.7637
"2016-08-07",3.1245
"2016-08-08",11.2243
"2016-08-09",4.0629
"2016-08-10",6.3489
"2016-08-11",1.3957
"2016-08-12",1.4566
"2016-08-13",7.4827
"2016-08-14",2.0913
"2016-08-15",3.3314
"2016-08-16",10.1605
"2016-08-17",2.2362
"2016-08-18",1.4447
"2016-08-19",5.9051
"2016-08-20",7.81
"2016-08-21",2.112
"2016-08-22",0.8353
"2016-08-23",9.8329
"2016-08-24",10.5352
"2016-08-25",1.8317
"2016-08-26",3.4782
"2016-08-27",5.3976
"2016-08-28",0.5235
"2016-08-29",5.4159
"2016-08-30",1.4555
"2016-08-31",2.7107
"2016-09-01",3.2723
"2016-09-02",2.6057
"2016-09-03",4.2353
"2016-09-04",0.5728
"2016-09-05",1.8735
"2016-09-06",5.7647
"2016-09-07",8.2949
"2016-09-08",1.3021
"2016-09-09",4.7941
"2016-09-10",4.2172
"2016-09-11",1.3354
"2016-09-12",0.7648
"2016-09-13",3.7238
"2016-09-14",7.3863
"2016-09-15",2.4133
"2016-09-16",10.8445
"2016-09-17",0.8915
"2016-09-18",0.6664
"2016-09-19",4.6331
"2016-09-20",5.8687
"2016-09-21",1.0713
"2016-09-22",1.0596
"2016-09-23",10.3081
"2016-09-24",1.7837
"2016-09-25",1.2266
"2016-09-26",12.8481
"2016-09-27",3.2645
"2016-09-28",0.5478
"2016-09-29",3.9129
"2016-09-30",1.3955
"2016-10-01",1.0769
"2016-10-02",5.5321
"2016-10-03",3.2435
"2016-10-04",0.9957
"2016-10-05",6.1267
"2016-10-06",2.8733
"2016-10-07",0.8871
"2016-10-08",1.4539
"2016-10-09",3.3742
"2016-10-10",5.6315
"2016-10-11",1.4455
"2016-10-12",1.8346
"2016-10-13",1.1887
"2016-10-14",3.7134
"2016-10-15",0.464
"2016-10-16",2.1666
"2016-10-17",6.0945
"2016-10-18",4.5086
"2016-10-19",1.1578
"2016-10-20",2.3818
"2016-10-21",1.7856
"2016-10-22",0.2004
"2016-10-23",2.5625
"2016-10-24",0.9191
"2016-10-25",0.6042
"2016-10-26",5.8467
"2016-10-27",4.8215
"2016-10-28",0.296
"2016-10-29",0.8643
"2016-10-30",0.7892
"2016-10-31",0.1446
"2016-11-01",0.3588
"2016-11-02",0.2476
"2016-11-03",0.219
"2016-11-04",0.6593
"2016-11-05",0.0938
"2016-11-06",0.1632
"2016-11-07",0.0558
"2016-11-08",0.0377
"2016-11-09",0.0391
"2016-11-10",0.0079
"2016-11-11",0.012
"2016-11-12",0.3588
"2016-11-13",0.0209
"2016-11-14",0.2699
"2016-11-15",0.1756
"2016-11-16",0.2667
"2016-11-17",0.5672
"2016-11-18",0.7331
"2016-11-19",0.2261
"2016-11-20",0.0078
"2016-11-21",0.4998
"2016-11-22",0.7194
"2016-11-23",2.5528
"2016-11-24",0.2911
"2016-11-25",0.0199
"2016-11-26",0.0427
"2016-11-27",0.0074
"2016-11-28",0.0647
"2016-11-29",0.0225
"2016-11-30",0.1893
"2016-12-01",0.1729
"2016-12-02",0.2368
"2016-12-03",0.0523
"2016-12-04",0.0003
"2016-12-05",0
"2016-12-06",0
"2016-12-07",0
"2016-12-08",0
"2016-12-09",0
"2016-12-10",0.2185
"2016-12-11",0
"2016-12-12",0.024
"2016-12-13",0.1601
"2016-12-14",0.0115
"2016-12-15",0.017
"2016-12-16",0.0384
"2016-12-17",0
"2016-12-18",0
"2016-12-19",0
"2016-12-20",0
"2016-12-21",0.0003
"2016-12-22",0.0231
"2016-12-23",0
"2016-12-24",0
"2016-12-25",0
"2016-12-26",0.1927
"2016-12-27",0
"2016-12-28",0
"2016-12-29",0
"2016-12-30",0
"2016-12-31",0
"2017-01-01",0.0001
"2017-01-02",0
"2017-01-03",0
"2017-01-04",0.0323
"2017-01-05",0.0021
